Wrapper::Wrapper, line 59: Wrapper::Wrapper
Wrapper::init, line 84: Wrapper::init
Wrapper::cleanup, line 287: Wrapper::cleanup
Wrapper::setBaseWindow, line 335: Wrapper::setBaseWindow
Wrapper::initMembers, line 121: Wrapper::initMembers
Launcher::Launcher, line 31: Launcher::Launcher
Wrapper::hasRegistryReadAccess, line 73: Wrapper::hasRegistryReadAccess
Wrapper::initDatastore, line 540: Wrapper::initDatastore
Wrapper::deleteObsoleteRACAdFile, line 109: Wrapper::deleteObsoleteRACAdFile
Wrapper::startWrapper, line 139: Wrapper::startWrapper
Wrapper::startWrapper, line 141: Wrapper::startWrapper:GamePlayTracker:start
Wrapper::startWrapper, line 145: Wrapper::startWrapper:GamePlayTracker:end
Wrapper::startWrapper, line 147: Wrapper::startWrapper:LicMgr:start
Wrapper::startWrapper, line 148: c:\My Games\Backspin Billiards\BackspinBilliards_r1a.exe
Wrapper::startWrapper, line 150: Wrapper::startWrapper:LicMgr:init done
Wrapper::setUnsetUnlimitedPlay, line 1028: setUnsetUnlimitedPlay : Start
LicenseMgr::getTimeLeft, line 398: LicenseMgr::getTimeLeft()

LicenseMgr::getTimeLeft, line 401: 1LicenseMgr::getTimeLeft()

LicenseMgr::getTimeLeft, line 414: 4LicenseMgr::getTimeLeft()

LicenseMgr::getTimeLeft, line 422: 5LicenseMgr::getTimeLeft()

LicenseMgr::getTimeLeft, line 432: 6LicenseMgr::getTimeLeft()

LicenseMgr::getTimeLeft, line 449: 8LicenseMgr::getTimeLeft()

LicenseMgr::getTimeLeft, line 453: 9LicenseMgr::getTimeLeft()

LicenseMgr::getTimeLeft, line 456: 10LicenseMgr::getTimeLeft()

LicenseMgr::getTimeLeft, line 458: 11LicenseMgr::getTimeLeft()

LicenseMgr::getTimeLeft, line 460: 12LicenseMgr::getTimeLeft()

LicenseMgr::getTimeLeft, line 466: 13LicenseMgr::getTimeLeft()

LicenseMgr::getTimeLeft, line 472: 14LicenseMgr::getTimeLeft()

Wrapper::setUnsetUnlimitedPlay, line 1030: setUnsetUnlimitedPlay : got TimeLeft
Wrapper::setUnsetUnlimitedPlay, line 1032: setUnsetUnlimitedPlay : got MaxMinutes
Wrapper::setUnsetUnlimitedPlay, line 1045: Limited play game
Wrapper::setUnsetUnlimitedPlay, line 1053: setUnsetUnlimitedPlay : End
Wrapper::launchStatusChange, line 626: Wrapper::launchStatusChange
LicenseMgr::getTimeLeft, line 398: LicenseMgr::getTimeLeft()

LicenseMgr::getTimeLeft, line 401: 1LicenseMgr::getTimeLeft()

LicenseMgr::getTimeLeft, line 414: 4LicenseMgr::getTimeLeft()

LicenseMgr::getTimeLeft, line 422: 5LicenseMgr::getTimeLeft()

